target,ikkb,ikkg,pst,sting
LanB1,0,0,0,1
LanB2,0,0,0,1
MED10,1,1,0,0
MED15,1,1,0,0
MED21,1,1,0,0
MED23,1,1,0,0
MEP-1,1,1,0,0
MFS16,0,0,0,1
MRP,0,0,0,1
MSBP,0,0,0,1
Mal-B2,1,1,0,0
Mct1,0,0,0,1
Mec2,0,0,0,1
Meltrin,0,0,0,1
Mkk4,0,0,0,1
Mlc-c,0,1,0,0
Mocs2,1,1,0,0
Mpcp,0,0,0,1
Mtpalpha,0,0,0,1
Myo31DF,0,0,0,1
NTPase,0,0,0,1
Ndc80,1,1,0,0
Nipped-A,1,0,0,0
Not1,0,0,0,1
Not3,1,1,0,0
Ost48,0,0,0,1
OstDelta,0,0,0,1
Ostgamma,0,0,0,1
PEK,0,0,0,1
PHGPx,1,0,0,0
PMCA,0,0,0,1
Pak3,1,1,0,0
Past1,0,0,0,1
Pdcd4,0,0,1,0
Pen,0,0,0,1
Pfk,0,0,0,1
PhKgamma,0,1,0,0
Piezo,0,0,0,1
Poc1,0,0,1,0
Pp2A-29B,0,0,0,1
Prosalpha4,0,0,0,1
Prp31,1,1,0,0
Psn,0,0,0,1
Pvr,0,1,0,0
R,0,0,0,1
RFeSP,0,0,0,1
RIOK1,0,0,1,0
RPA2,0,1,0,0
RPA3,0,1,0,0
Rab1,0,0,0,1
Rab10,0,0,0,1
Rab2,0,0,0,1
Rab5,0,0,0,1
Rab7,0,0,0,1
Rab8,0,0,0,1
Rala,0,0,0,1
Ran,0,0,0,1
Ranbp9,0,0,0,1
Ras85D,0,0,0,1
Rel,1,1,0,0
Rho1,0,0,0,1
RhoGAP19D,1,1,0,0
RhoGAP92B,1,1,0,0
RnpS1,0,0,1,0
RpA-70,1,1,0,0
RpI135,0,1,0,0
RpL10,0,0,0,1
RpL10Ab,0,0,0,1
RpL11,0,0,0,1
RpL12,0,0,0,1
RpL15,0,0,0,1
RpL17,0,0,0,1
RpL18A,0,0,0,1
RpL21,0,0,0,1
RpL24,0,0,0,1
RpL27A,0,0,0,1
RpL28,0,0,0,1
RpL3,0,0,0,1
RpL35A,0,0,0,1
RpL36A,0,0,0,1
RpL37a,0,0,0,1
RpL5,0,0,0,1
RpL7,0,0,0,1
RpL9,0,0,0,1
RpS10b,0,0,0,1
RpS13,0,0,0,1
RpS16,0,0,0,1
RpS17,0,0,0,1
RpS26,0,0,0,1
RpS27,0,0,0,1
RpS27A,0,0,0,1
RpS29,0,0,0,1
RpS4,0,0,0,1
RpS7,0,0,0,1
Rpn1,0,0,0,2
Rpn10,0,0,0,1
Rpn11,0,0,0,1
Rpn12,0,0,0,1
Rpn13,0,0,0,1
Rpn2,0,0,0,1
Rpn3,0,0,0,1
Rpn5,0,0,0,1
Rpn6,0,1,0,1
Rpn7,0,0,0,1
Rpn8,0,0,0,1
Rpn9,0,1,0,0
Rpt1,0,0,0,1
Rpt2,0,0,0,1
Rpt3,0,0,0,1
Rpt4,0,0,0,1
Rpt5,0,0,0,1
Rpt6,0,0,0,1
RtcB,0,0,1,0
Rtnl1,1,1,0,0
SMC2,1,1,0,0
Sc2,0,0,0,1
Scamp,0,0,0,1
Scox,0,0,0,1
Scsalpha,0,0,0,1
Sec61alpha,0,0,0,1
Sec71,0,0,0,1
Sep-02,0,1,0,0
Sgf29,1,0,0,0
Slmap,0,1,0,0
Smu1,1,1,0,0
Snr1,1,1,0,0
Spc25,0,1,0,0
Spp,0,1,0,0
Spt-I,0,0,0,1
SrpRbeta,0,0,0,1
Ssb-c31a,0,0,1,0
Ssrp,0,1,0,0
Strn-Mlck,1,1,0,0
Surf4,0,0,0,1
T-cp1,0,0,0,1
TER94,0,0,0,1
TRAM,0,0,0,1
Taf5,0,1,0,0
Taf6,1,1,0,0
Tango5,0,0,1,1
Tango7,0,0,1,0
Tapdelta,0,0,0,1
Thiolase,0,0,0,1
Tom70,0,0,0,1
Tor,0,0,0,1
U3-55K,0,0,1,0
U4-U6-60K,1,1,1,0
UGP,1,0,0,0
Uch-L5,0,1,0,1
Ugt58Fa,0,0,0,1
Usp20-33,1,1,0,0
Vap-33-1,0,0,0,1
Vha26,1,1,0,0
Vha68-2,1,1,0,0
Vps4,0,0,0,1
Zip99C,0,0,0,1
Zn72D,0,1,0,0
Zw10,0,1,0,0
alc,1,1,0,0
alphaCop,0,0,0,1
aos,0,0,1,0
aru,1,1,1,0
bai,0,0,0,1
bbc,0,0,0,1
beta-Spec,0,1,0,0
betaCop,0,0,0,2
betaTub60D,0,0,0,1
blanks,1,1,1,1
bon,0,1,0,0
brm,0,0,0,1
cact,1,1,0,0
capt,1,1,0,0
capu,0,0,0,1
cathD,0,0,0,1
cert,1,0,0,0
cno,1,0,0,0
coil,0,1,0,0
colt,0,0,0,1
cora,0,0,1,0
crp,1,0,0,0
deltaCOP,1,1,0,1
desat1,0,0,0,1
dgt2,1,1,0,0
dgt3,0,1,0,0
dgt4,0,1,0,0
dl,1,1,0,0
dod,0,0,1,0
dpa,0,0,0,1
e(y)3,0,1,0,0
eIF-2gamma,0,0,0,1
eIF-4E,0,1,0,0
eIF-5A,1,1,0,0
eIF2B-epsilon,0,1,0,0
eIF3-S9,0,0,1,0
eRF1,0,0,1,0
egg,1,1,0,0
elm,0,0,0,1
emb,0,0,0,1
epsilonCOP,0,0,0,1
frc,0,0,0,1
frj,0,0,0,1
fu12,0,0,0,1
gammaCop,0,0,0,1
garz,0,0,0,1
gbb,0,0,0,1
glu,0,1,0,1
heix,0,0,0,1
iPLA2-VIA,0,1,0,0
ird5,1,1,0,0
key,1,1,0,0
kuk,0,0,0,1
l(1)G0156,0,0,0,1
l(1)G0230,0,0,0,1
l(1)G0320,0,0,0,1
l(1)G0334,0,0,0,1
l(2)37Cc,0,0,0,1
l(2)gl,0,0,1,0
l(2)k09022,0,0,0,1
l(2)not,0,0,0,1
l(2)tid,0,0,0,1
l(3)03670,0,0,0,1
l(3)07882,1,1,0,0
lace,0,0,0,1
larp,0,0,0,1
levy,0,0,0,1
lic,0,0,0,1
lost,0,0,0,1
me31B,0,0,0,1
mei-P26,1,1,0,0
mfrn,0,0,0,1
mio,0,1,0,0
mip120,1,1,0,0
mip40,1,1,0,0
mon2,0,0,0,1
msd1,1,1,0,0
msk,0,0,0,1
mts,0,0,0,1
muc,0,0,1,0
mys,0,1,0,1
ncd,0,0,0,1
nemy,0,0,0,1
nmd,0,0,0,1
oys,0,0,0,1
p115,0,0,0,1
pgant5,0,0,0,1
poe,0,0,0,1
porin,0,0,0,1
pst,0,0,1,1
qkr58E-1,0,0,1,0
r,0,0,0,1
ref(2)P,1,1,0,1
rod,0,0,0,1
row,0,1,0,0
rush,0,0,1,0
scaf6,1,1,0,0
